precR,sigmaM,converged?,fn
11.111,0.001,0,precR_11.111_sigmaM_0.001
4,0.001,1,precR_4_sigmaM_0.001
2.041,0.001,1,precR_2.041_sigmaM_0.001
1.235,0.001,1,precR_1.235_sigmaM_0.001
0.826,0.001,1,precR_0.826_sigmaM_0.001
0.592,0.001,1,precR_0.592_sigmaM_0.001
0.444,0.001,1,precR_0.444_sigmaM_0.001
11.111,0.005,0,precR_11.111_sigmaM_0.005
4,0.005,1,precR_4_sigmaM_0.005
2.041,0.005,1,precR_2.041_sigmaM_0.005
1.235,0.005,1,precR_1.235_sigmaM_0.005
0.826,0.005,1,precR_0.826_sigmaM_0.005
0.592,0.005,1,precR_0.592_sigmaM_0.005
0.444,0.005,1,precR_0.444_sigmaM_0.005
11.111,0.01,0,precR_11.111_sigmaM_0.01
4,0.01,1,precR_4_sigmaM_0.01
2.041,0.01,1,precR_2.041_sigmaM_0.01
1.235,0.01,1,precR_1.235_sigmaM_0.01
0.826,0.01,1,precR_0.826_sigmaM_0.01
0.592,0.01,1,precR_0.592_sigmaM_0.01
0.444,0.01,1,precR_0.444_sigmaM_0.01
11.111,0.05,0,precR_11.111_sigmaM_0.05
4,0.05,1,precR_4_sigmaM_0.05
2.041,0.05,0,precR_2.041_sigmaM_0.05
1.235,0.05,1,precR_1.235_sigmaM_0.05
0.826,0.05,1,precR_0.826_sigmaM_0.05
0.592,0.05,0,precR_0.592_sigmaM_0.05
0.444,0.05,0,precR_0.444_sigmaM_0.05
11.111,0.1,0,precR_11.111_sigmaM_0.1
4,0.1,0,precR_4_sigmaM_0.1
2.041,0.1,1,precR_2.041_sigmaM_0.1
1.235,0.1,1,precR_1.235_sigmaM_0.1
0.826,0.1,1,precR_0.826_sigmaM_0.1
0.592,0.1,0,precR_0.592_sigmaM_0.1
0.444,0.1,1,precR_0.444_sigmaM_0.1
11.111,0.5,0,precR_11.111_sigmaM_0.5
4,0.5,1,precR_4_sigmaM_0.5
2.041,0.5,0,precR_2.041_sigmaM_0.5
1.235,0.5,1,precR_1.235_sigmaM_0.5
0.826,0.5,0,precR_0.826_sigmaM_0.5
0.592,0.5,1,precR_0.592_sigmaM_0.5
0.444,0.5,1,precR_0.444_sigmaM_0.5
