year,tot_mat_B_tons,spawn_dep,tcb,tot_obs_egg,tot_est_egg,res_tot_egg,SR,res_SR,init_age_3,tot_sp_B_tons,N,tot_post_N,tot_sp_N,tot_mat_N
1980,45424.06138,35000,4385,3.15,3.22917,-0.0248232,0,0,193.212,41039.04407,726.296,679.812,441.91,488.394
1981,46586.12403,30000,3506,3,3.49448,-0.152571,0,0,69.5759,43080.09436,457.371,429.597,350.089,377.864
1982,33006.34935,29500,4363,2.972,2.33389,0.241698,0,0,70.6474,28643.37838,315.709,282.919,221.397,254.187
1983,39159.48323,23500,5450,2.63,2.7421,-0.0417417,178.433,1.14938,563.174,33709.40717,724.563,685.041,265.529,305.051
1984,46517.89061,38500,5830,3.25,3.67853,-0.123859,175.852,0.294607,236.098,40687.84585,626.876,580.599,342.478,388.755
1985,40898.27818,31000,7475,3.025,3.04405,-0.00627701,182.708,-0.878179,75.9222,33423.35589,407.122,350.495,263.523,320.15
1986,32624.28625,25000,5443,2.58,2.476,0.0411441,183.846,0.266806,240.064,27181.26502,440.002,399.634,213.95,254.318
1987,49337.39721,46000,4216,4.201,3.93869,0.0644755,178.837,1.93393,1236.95,45121.36511,1464.92,1422.55,492.159,534.53
1988,64589.16643,58500,9575,5.871,4.79837,0.201749,183.906,-0.225966,146.71,55014.10966,958.198,856.852,603.152,704.498
1989,45754.7565,27000,12135,2.7,2.96251,-0.0927836,181.4,-2.62653,13.1204,33619.7888,501.907,380.05,344.493,466.35
1990,27092.1978,23000,3804,2.273,2.11641,0.0713789,172.918,-2.53448,13.7129,23288.21182,230.511,200.131,187.268,217.649
1991,32588.79164,23500,1908,2.34716,2.63121,-0.114238,155.27,1.89776,1035.8,30680.79102,1149.96,1129.19,372.142,392.921
1992,51687.5372,43351,5368,4.33512,4.08134,0.0603245,183.866,-2.05654,23.5157,46319.58377,667.654,614.215,474.825,528.264
1993,36319.91446,37150,10186,3.71503,2.33145,0.465898,175.299,-8.64112,0.0309735,26133.95357,350.407,255.526,244.96,339.841
1994,22694.61408,14941,4886.91,1.49413,1.62781,-0.085693,183.755,-0.642158,96.684,17807.71181,242.447,206.627,135.64,171.46
1995,31436.31914,34990,2977.9,3.49896,2.59853,0.297519,171.054,1.06029,493.866,28458.40958,611.736,590.33,219.052,240.458
1996,39722.32633,40827,8249.15,3.59277,2.83351,0.237405,180.151,0.286408,239.895,31473.13653,576.646,507.875,274.44,343.211
1997,47782.57898,28611,11254.5,2.8877,3.32042,-0.139633,158.799,0.928922,402.044,36528.14215,691.759,617.087,293.111,367.783
1998,50406.31407,34942,6786.56,3.58394,3.89648,-0.0836124,182.569,0.577636,325.305,43619.7888,677.32,626.408,341.43,392.342
1999,59452.36888,44554,9421.46,4.49573,4.49938,-0.000811293,183.939,-0.771915,85.0032,50030.86488,558.042,489.698,373.761,442.105
2000,58457.74819,57988,4619.37,5.85134,4.89076,0.179323,182.591,0.0456441,191.119,53838.37827,560.92,530.004,373.255,404.17
2001,65515.77416,58756,12060,6.02643,4.87326,0.212391,175.108,0.368752,253.194,53455.76402,653.432,576.25,360.402,437.585
2002,67095.72521,40366,9935.5,4.07318,4.58458,-0.118274,164.729,-0.022671,161.036,57160.21076,596.198,534.198,375.55,437.55
2003,79018.93781,55769,6956.11,5.62743,5.7226,-0.0167699,157.577,1.4515,672.78,72062.76593,1076.19,1029.96,511.228,557.454
2004,99248.66068,69907,10616.6,7.16901,7.0451,0.0174344,158.32,-0.527336,93.4363,88632.02452,871.222,799.404,624.339,696.157
2005,96558.12518,101305,11520.3,8.13885,6.83144,0.175114,150.969,0.0814163,163.775,85037.80948,767.454,694.443,551.508,624.519
2006,88155.93377,66111,10069.4,5.30074,6.28614,-0.1705,120.057,0.651511,230.322,78086.4878,754.738,692.906,497.768,559.6
2007,92796.57841,84501,11762.3,6.85769,6.53794,0.0477485,88.464,1.33843,337.317,81034.30411,860.573,790.938,506.996,576.631
2008,105058.4228,247088,14560.4,20.1484,7.28596,1.01717,94.8534,1.55015,446.966,90498.02685,1044.25,957.648,576.44,663.044
2009,118958.7513,110946,14874.5,9.00542,8.40062,0.0695214,107.985,1.09212,321.859,104084.7461,1045.04,957.395,649.266,736.907
2010,115766.4411,126230,17963.5,9.99957,7.85519,0.241368,102.299,1.04176,289.936,97803.30254,1012.92,902.692,635.456,745.688
2011,108115.148,161904,19539.2,13.0665,7.16407,0.600974,85.2625,0.089195,93.217,88575.91658,774.895,659.592,542.524,657.827
2012,77626.16019,62518,13308.5,4.97979,5.17626,-0.0386948,64.4255,-0.206416,52.4098,64317.66573,550.508,467.365,410.951,494.094
2013,74339.60184,103267,5785.72,8.43356,5.61369,0.40701,73.5146,1.1185,224.974,68553.87024,577.91,547.89,374.366,404.386
2014,70180.11861,48561,17077.4,3.96046,4.33614,-0.0906244,88.5616,-0.851213,37.8067,53102.69186,451.552,361.565,298.102,388.088
2015,65671.64179,58183,8855.83,4.59376,4.43923,0.0342178,136.148,1.73498,771.801,56815.73668,1014.25,953.906,450.937,511.277
2016,75126.43577,77973,10055.5,5.97941,5.01788,0.175314,127.3,-1.76667,21.7556,65070.98922,661.391,580.663,560.234,640.962
2017,63409.4667,46919,14062.9,3.61753,3.83423,-0.0581782,159,0.81077,357.693,49346.54644,747.053,638.937,405.777,513.893
