Folder_name,Structure,deltaAIC,AIC,GHL,nopar,max_grad,Survival,Maturity,Selectivity
model.36_333,Surv(3) Mat(3) Sel(3),0,-2283.89664449946,12669.081,64,4.29879067127836e-5,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017
model.26_232,Surv(2) Mat(3) Sel(2),18.25539184315994,-2265.6412526563,15725.1843,61,3.37339884111225e-5,1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017
model.8_222,Surv(2) Mat(2) Sel(2),19.613691600699894,-2264.28295289876,16313.9992,59,8.63716336600739e-5,1980-1998; 1999-2017,1980-1998; 1999-2017,1980-1998; 1999-2017
model.15_221,Surv(2) Mat(2) Sel(1),19.692320330299935,-2264.20432416916,15707.6264,57,3.03074170894322e-5,1980-1998; 1999-2017,1980-2014; 2015-2017,1980-2017
model.16_222,Surv(2) Mat(2) Sel(2),20.04117065481978,-2263.85547384464,16761.1715,59,6.21662098870453e-5,1980-1998; 1999-2017,1980-2014; 2015-2017,1980-2014; 2015-2017
model.25_231,Surv(2) Mat(3) Sel(1),23.223112884679722,-2260.67353161478,15726.362,59,4.69298598580439e-5,1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-2017
model.7_221,Surv(2) Mat(2) Sel(1),23.293924550099746,-2260.60271994936,16426.7759,57,8.77678619111049e-5,1980-1998; 1999-2017,1980-1998; 1999-2017,1980-2017
model.32_233,Surv(2) Mat(3) Sel(3),90.43116435293996,-2193.46548014652,12940.6928,63,2.16429353729395e-4,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017
model.29_231,Surv(2) Mat(3) Sel(1),91.47701918901976,-2192.41962531044,12293.8544,59,9.35317144305394e-5,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2017
model.21_131,Surv(1) Mat(3) Sel(1),95.01917077875987,-2188.8774737207,13786.4234,58,3.09047556255011e-5,1980-2017,1980-1998; 1999-2014; 2015-2017,1980-2017
model.22_132,Surv(1) Mat(3) Sel(2),96.45502930311977,-2187.44161519634,13967.1444,60,3.28343937021072e-5,1980-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017
model.9_221,Surv(2) Mat(2) Sel(1),97.0169032520198,-2186.87974124744,12804.7468,57,1.08559740149083e-4,1980-2014; 2015-2017,1980-1998; 1999-2017,1980-2017
model.5_121,Surv(1) Mat(2) Sel(1),100.68990581139997,-2183.20673868806,14656.876,56,1.60346071258907e-5,1980-2017,1980-1998; 1999-2017,1980-2017
model.17_221,Surv(2) Mat(2) Sel(1),140.91985225319968,-2142.97679224626,12559.023,57,2.91071555237051e-5,1980-2014; 2015-2017,1980-2014; 2015-2017,1980-2017
model.13_121,Surv(1) Mat(2) Sel(1),143.14108599053998,-2140.75555850892,13438.2475,56,6.71196793443213e-5,1980-2017,1980-2014; 2015-2017,1980-2017
model.31_232,Surv(2) Mat(3) Sel(2),164.93757552342004,-2118.95906897604,11644.4134,61,1.07470733225715e-5,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017
model.18_222,Surv(2) Mat(2) Sel(2),187.20852357677995,-2096.68812092268,11953.6394,59,528.802194792794,1980-2014; 2015-2017,1980-2014; 2015-2017,1980-2014; 2015-2017
